企画ID,企画名,きかくめい,企画団体名,きかくだんたいめい,テント配置,公開時間21日,公開時間22日,ジャンル,パンフ原稿,
1077,焼き鳥 よこの宮,やきとりよこのみや,九大バレーボール同好会,きゅうだいばれーぼーるどうこうかい,S12,9：00~19：00,9：00~19：00,食べる,焼き鳥です。SUMIBIで焼きました。爽やかなハイキュー男子と女子がお届けします。美味しいんです。これが。,
1115,俺の屋台！！,おれのやたい,J-HEARTY,J-HEARTY,S13,未記入,未記入,食べる,私たちはもちもちポテト(外はサクサク中はもっちりの最高の食感(^^)/)とフランクフルトを販売します!ぜひ足を運んでください♪,
1068,仮想カフェ<br>しかちゃん,かそうかふぇ　しかちゃん,しかちゃん,しかちゃん,S14,9：00~19：00,9：00~19：00,食べる,メニューは焼きガキ、はしまき、豚汁、あったかい飲み物★時間限定で壁ドンコンテスト♪仮装して来られたお客様にはサービス有☆,
1106,ジェリーズ<br>ポップコーン!!,じぇりーずぽっぷこーん,ジェリーズポップコーンKNP,じぇりーずぽっぷこーんKNP,S15,9：00~19：00,9：00~19：00,食べる,楽天ランキング第1位獲得大人気ポップコーン専門店Jerrysがついに学園祭初登場! できたてのチュロスもご一緒にどうぞ☆,
1128,山下プリン,やましたぷりん,ソフトテニス愛好会,そふとてにすあいこうかい,S16,9：00~19：00,9：00~19：00,食べる,柔らかい甘さとコクのある上品な苦みが生み出すハーモニー。ソフ愛だからこそ作れるソフトなプリンをぜひご賞味あれ。,
1094,揚げオレオ,あげおれお,オレオレオ,おれおれお,S17,9：00~19：00,9：00~19：00,食べる,米国で大人気のスイーツが福岡へ上陸! とろけるオレオとサクサクの衣のハーモニーは、まさに新感覚。 学祭の思い出に♪,
1085,チュロスはうすAshi,ちゅろすはうすAshi,芦原空手部,あしはらからてぶ,S18,9：00~19：00,9：00~19：00,食べる,押忍!九大芦原空手部です。今年も毎年恒例のチュロスです。安い、美味い、はやい!食べ歩きできます。ぜひ来てください!,
1133,ケバブand煮たまご,けばぶandにたまご,九州大学体操部,きゅうしゅうだいがくたいそうぶ,S19,9：00~19：00,9：00~19：00,食べる,今年の九大体操部はケバブにくわえ、もはや伝統となりつつある煮卵を販売します。ぜひ食べに来てください！,
1005,俺ん家のお好み焼き,おれんちのおこのみやき,オレンジロード,おれんじろーど,S20,9：00~19：00,9：00~19：00,食べる,お好み焼き こうじろさんから指導をいただいてお好み焼きを作っています!揚げアイスも販売するのでぜひ食べに来てください!,
1088,JAF準加盟QUCC☆からあげ,JAFじゅんかめいQUCC☆からあげ,自動車部 (QUCC),じどうしゃぶ,S21,9：00~19：00,9：00~19：00,食べる,こんにちは!自動車部、QUCCです!今年も昨年に引き続き、からあげを販売します。肉汁たっぷりのからあげをご堪能ください!,
1018,伊都ＱＱやきとり,いとＱＱやきとり,九州大学弓道部,きゅうしゅうだいがくきゅうどうぶ,S22,9：00~19：00,9：00~19：00,食べる,やきとりはいかがですか?私たち弓道部が作るやきとりの美味しさに偽りはありません。「孚(まこと)」の味をお楽しみください!,
1067,揚げフレンチ<br>トースト,あげふれんちとーすと,がやがや門,がやがやもん,S23,9：00~19：00,9：00~19：00,食べる,今年のがやがや門はオシャレな「揚げフレンチトースト」を作ります!サクふわの生地と特製ソースをお楽しみください!,
1105,翼のハリケーンポテト！！,つばさのはりけーんぽてと,翼倶楽部,つばさくらぶ,S24,9：00~19：00,9：00~19：00,食べる,バドミントンサークル翼倶楽部のハリケーンポテトです。クルクル、カリカリのポテト!嵐のような美味しさをお届けします!,
1130,豚汁研究会,とんじるけんきゅうかい,映画研究部,えいがけんきゅうぶ,S25,9：00~19：00,9：00~19：00,食べる,じっくりと丁寧に作り上げた、究極の豚汁をご提供します!温かい豚汁で、ほっと一息つきませんか?,
1040,友利が作るサーターアンダギー屋,ともかずがつくるさーたーあんだぎーや,歯学部野球部,しがくぶやきゅうぶ,S26,9：00~19：00,9：00~19：00,食べる,なんとあの沖縄のお菓子が九大に!本場沖縄から来たウチナーンチュ友利が作る絶品のサーターアンダギーを食べてみてください!!,
1078,電情フライドポテト,でんじょうふらいどぽてと,電情の同期組(2010年度),でんじょうのどうきぐみ(2010ねんど),S27,9：00~19：00,9：00~19：00,食べる,卒業前に工学部の電気情報工学科からの同級生で出店しました!美味しい揚げ物を用意しております。ぜひ食べにきてください!,
1124,土井くんの揚げパンアイス,どいくんのあげぱんあいす,創薬1年,そうやく1ねん,S28,9：00~19：00,9：00~19：00,食べる,ほかほか揚げパンにひんやりアイスをはさめました!創薬の長、土井くんと従える民でお作りします(  ̆ ω ̆  ),
1089,から揚げラボーナ,からあげらぼーな,F.C. Rabona,F.C. Rabona,S29,9：00~19：00,9：00~19：00,食べる,こんにちは!医学部フットサル部F.C.Rabonoです!アツアツカリカリのから揚げを販売します。ぜひご賞味あれ!,
1037,ドイサー　でももう<br>土居はいない,どいさー　でももうどいはいない,ドイサー,どいさー,S30,9：00~19：00,9：00~19：00,食べる,あのドイサーがとうとう九大祭ラストイヤーです。地鶏の炭火焼とドリンクを売っているので是非温まりに来てください。,
1021,アカペラストリートLIVE,あかぺらすとりーとらいぶ,九州大学アカペラサークル HarmoQ,きゅうしゅうだいがくあかぺらさーくるはもきゅー,S31,9：00~19：00,9：00~19：00,聞く,ハモネプでおなじみのアカペラをストリートライブでみなさんにお届けします!ステージ・教室ライブにもぜひお越しください!!,
1076,焼き鳥屋　建ちゃん,やきとりやけんちゃん,工学部建築学科,こうがくぶけんちくがっか,S32,9：00~19：00,9：00~19：00,食べる,工学部建築学科、焼き鳥屋建ちゃん。修行を積み磨き上げられた伝統の味。ぜひ一度ご賞味あれ!!,
1016,きゅうえん芝居,きゅうえんしばい,九州大学演劇部,きゅうしゅうだいがくえんげきぶ,ビッグオレンジ横,17：00~19：00,9：00~19：00,見る,今年もやってまいりました、きゅうえん芝居!複数の短編演劇を上演しております。笑いと涙溢れる芝居を是非観に来てください!,
4035,Unplugged<br>路上ライブ,あんぷらぐどろじょうらいぶ,Unplugged,Unplugged,J付近,,,聞く,アコースティックギターによる路上ライブを行います!室内でのライブとは一味違う路上ライブならではの演奏をお楽しみください!,
