企画ID,企画名,きかくめい,企画団体名,きかくだんたいめい,教室,公開時間21日,公開時間22日,ジャンル,パンフ原稿
2014,生き物屋,いきものや,生物研究部,せいぶつけんきゅうぶ,2308,9：00~19：00,9：00~19：00,見る,身近な生物から幻の生物まで、我々が出会った素敵な昆虫・魚・両生類・爬虫類・鳥・微生物・植物を生体、標本、写真などで展示！
2024,まだだ、<br>まだ終わらんよ…！,まだだ、まだおわらんよ,九州大学SF研究部,きゅうしゅうだいがくSFけんきゅうかい,2309,9：00~19：00,9：00~19：00,見る,今年の立体製作は機動戦士Zガンダムに登場する百式です。公式で書かれている通り、金色で塗装しています。
2019,SugarInnovation,SugarInnovation,九大医学部<br>&中村学園栄養チーム,きゅうだいいがくぶあんどなかむらがくえんえいようちーむ,2310,9：00~19：00,9：00~19：00,食べる,九大医学部と中村学園栄養科学部の学生が、あなたの健康を第一に考えた「美味しく」「楽しく」「学べる」メニューを提供します。
2020,ぷよぷよ大会,ぷよぷよたいかい,九大ぷよぷよサークル<br>「ぷよ９連」,きゅうだいぷよぷよさーくる　ぷよ9れん,2401,9：00~19：00,9：00~19：00,遊ぶ,今年度もぷよ9連ではぷよぷよ大会を行います!初心者講座やなぞぷよも用意するので、みなさん是非足を運んでみてください!
2035,ベジスイーツカフェ,べじすいーつかふぇ,APiQ!!,APiQ,2402,9：00~19：00,9：00~19：00,食べる,農家さんから頂いた野菜を使ったスイーツ、スムージーを販売します!農家さんの声を聞ける特典も用意しています!
2032,公開ラジオ生放送,こうかいらじおなまほうそう,九州大学放送研究会,きゅうしゅうだいがくほうそうけんきゅうかい,2406,9：00~19：00,9：00~13：00,聞く,個性豊かな部員が皆さんを楽しませるラジオエンターテイナーになる!ネット配信やってます!Let's TALKING!
2042,児童でつながる<br>日中学生交流,じどうでつながるにっちゅうがくせいこうりゅう,日中朋友の会,にっちゅうほうゆうのかい,2407,9：00~19：00,9：00~19：00,見る,日本と中国の学生が児童絵画展を通して交流を深めていく様子と民間レベルから考える国際交流について展示を行います。
2038,Re-lax,Re-lax,女子ラクロス部,じょしらくろすぶ,2408,9：00~19：00,9：00~18：00,その他,毎年大好評!部員たちが最高級のマッサージをご提供☆今ならもれなく、ドリンク、おかし、部員のスマイルがついてきますよ♪
2008,クラブ屋さん<br>(U 'ᴗ' U),くらぶやさん,クラブ屋さん(U 'ᴗ' U),くらぶやさん,2409,10：00~19：00,10：00~19：00,聞く,クラブ屋さん(U 'ᴗ' U) オールジャンルDJ部屋です。ツイッターアカウント@clubyasanにて詳細を公開予定。
2034,折展-ORITEN-,おりてん,九州大学折紙同好会ORUTO,きゅうしゅうだいがくおりがみどうこうかいORUTO,サブ,9：00~19：00,9：00~19：00,見る,九州大学折紙同好会ORUTOによる、はじめての折り紙作品展。知られざる折り紙の世界を、あなたものぞいてみませんか。
2040,BLS講習会,BLSこうしゅうかい,九大医系サークルKLSA,きゅうだいいけいさーくるKLSA,サブ,9：00~17：00,×,その他,BLSって何?と思ったそこのアナタ!その目で確かめに来ませんか?気軽に参加してみて下さい!タメになること、教えます。
2026,九大写真部 学祭展,きゅうだいしゃしんぶ　がくさいてん,九大写真部,きゅうだいしゃしんぶ,サブ,9：00~19：00,9：00~19：00,見る,九大写真部では今年も写真展を行っています。様々なジャンルの写真を展示し、ご来場お待ちしています。
2044,射的屋,しゃてきや,サバゲーサークル<br>Night Nine,さばげーさーくる Night Nine,サブ,9：00~19：00,9：00~19：00,遊ぶ,祭りといえば射的!NightNineは昨年大好評だった射的を今年もやります!豪華賞品を用意してお待ちしております!
2017,ジャグリング体験<br>コーナー,じゃぐりんぐたいけんこーなー,九州大学ジャグリング部 9JUC,きゅうしゅうだいがくじゃぐりんぐぶ 9JUC,メイン,9：00~18：00,9：00~18：00,遊ぶ,私たちナインジャックは、ジャグリング体験コーナーをやります!ボールや中国ゴマなど、ちょっとできるようになってみませんか?
2016,書道作品展,しょどうさくひんてん,九州大学書道部,きゅうしゅうだいがくしょどうぶ,メイン,9：00~19：00,9：00~19：00,見る,書道部は来年、創部55周年を迎えます。50年の時を超えて脈々と受け継がれてきた、九大生ならではの”書”をご覧ください。
2018,三粋展,さんすいてん,書道部と写真部と美術部と!,しょどうぶとしゃしんぶとびじゅつぶと,メイン,9：00~19：00,9：00~19：00,見る,写真部・書道部・美術部が部の枠を超えてコラボ!今までにない新しい作品を展示しています。
